"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:SNCT.CR1","46698","exp01"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Tterra_Avg","Tagua_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2023-08-16 07:57:00",0,12.84,22.06,21.67,21.91
"2023-08-16 07:58:00",1,12.83,22.08,21.78,21.95
"2023-08-16 07:59:00",2,12.83,22.08,21.87,21.98
"2023-08-16 08:00:00",3,12.82,22.11,21.82,21.97
"2023-08-16 08:01:00",4,12.82,22.11,21.8,21.97
"2023-08-16 08:02:00",5,12.82,22.14,21.82,21.96
"2023-08-16 08:03:00",6,12.81,22.11,21.79,21.96
"2023-08-16 08:04:00",7,12.81,22.17,21.81,21.97
"2023-08-16 08:05:00",8,12.81,22.14,21.77,21.93
"2023-08-16 08:06:00",9,12.81,22.17,21.83,21.94
"2023-08-16 08:07:00",10,12.81,22.19,21.83,21.95
"2023-08-16 08:08:00",11,12.8,22.19,21.79,21.95
"2023-08-16 08:09:00",12,12.8,22.22,21.82,21.98
"2023-08-16 08:10:00",13,12.79,22.25,22.41,21.99
"2023-08-16 08:11:00",14,12.79,22.31,22.03,21.57
"2023-08-16 08:12:00",15,12.79,22.31,21.6,21.23
"2023-08-16 08:13:00",16,12.79,22.31,21.6,21.36
"2023-08-16 08:14:00",17,12.78,22.33,21.9,21.96
"2023-08-16 08:15:00",18,12.78,22.36,21.91,21.87
"2023-08-16 08:16:00",19,12.78,22.39,21.85,21.74
"2023-08-16 08:17:00",20,12.78,22.39,21.92,21.93
"2023-08-16 08:18:00",21,12.78,22.39,21.96,21.78
"2023-08-16 08:19:00",22,12.78,22.39,21.92,21.52
"2023-08-16 08:20:00",23,12.77,22.39,21.93,21.6
"2023-08-16 08:21:00",24,12.77,22.39,21.98,21.7
"2023-08-16 08:22:00",25,12.77,22.42,22.07,22.14
"2023-08-16 08:23:00",26,12.77,22.42,22.47,22.01
"2023-08-16 08:24:00",27,12.77,22.45,21.53,20.83
"2023-08-16 08:25:00",28,12.77,22.45,21.56,20.52
"2023-08-16 08:26:00",29,12.77,22.47,21.57,20.65
"2023-08-16 08:27:00",30,12.77,22.47,21.68,21.2
"2023-08-16 08:28:00",31,12.77,22.5,22.5,21.67
"2023-08-16 08:29:00",32,12.77,22.5,23.78,21.83
"2023-08-16 08:30:00",33,12.77,22.5,25.24,22.13
"2023-08-16 08:31:00",34,12.77,22.53,26.8,22.58
"2023-08-16 08:32:00",35,12.77,22.53,28.39,22.81
"2023-08-16 08:33:00",36,12.76,22.53,29.86,23.26
"2023-08-16 08:34:00",37,12.76,22.56,31.25,23.45
"2023-08-16 08:35:00",38,12.76,22.56,32.62,23.77
"2023-08-16 08:36:00",39,12.76,22.59,33.87,24.11
"2023-08-16 08:37:00",40,12.76,22.59,35.1,24.37
"2023-08-16 08:38:00",41,12.76,22.59,36.08,24.7
"2023-08-16 08:39:00",42,12.76,22.61,37.06,24.99
"2023-08-16 08:40:00",43,12.76,22.61,37.87,25.42
"2023-08-16 08:41:00",44,12.76,22.67,38.81,25.7
"2023-08-16 08:42:00",45,12.75,22.67,39.25,26.09
"2023-08-16 08:43:00",46,12.75,22.67,39.93,26.46
"2023-08-16 08:44:00",47,12.75,22.7,40.69,26.78
"2023-08-16 08:45:00",48,12.75,22.7,41.29,27.15
"2023-08-16 08:46:00",49,12.75,22.7,41.76,27.42
"2023-08-16 08:47:00",50,12.75,22.73,42.27,27.77
"2023-08-16 08:48:00",51,12.75,22.73,42.86,28.04
"2023-08-16 08:49:00",52,12.75,22.75,43.4,28.36
"2023-08-16 08:50:00",53,12.75,22.75,43.84,28.67
"2023-08-16 08:51:00",54,12.75,22.78,44.3,28.99
"2023-08-16 08:52:00",55,12.75,22.78,44.74,29.29
"2023-08-16 08:53:00",56,12.75,22.81,45.17,29.56
"2023-08-16 08:54:00",57,12.75,22.81,45.59,29.86
"2023-08-16 08:55:00",58,12.75,22.81,45.96,30.15
"2023-08-16 08:56:00",59,12.75,22.84,46.32,30.44
"2023-08-16 08:57:00",60,12.75,22.84,46.59,30.72
"2023-08-16 08:58:00",61,12.75,22.84,46.86,30.97
"2023-08-16 08:59:00",62,12.75,22.84,47.1,31.25
"2023-08-16 09:00:00",63,12.75,22.87,47.37,31.5
"2023-08-16 09:01:00",64,12.75,22.87,47.58,31.75
"2023-08-16 09:02:00",65,12.75,22.9,47.68,31.98
"2023-08-16 09:03:00",66,12.75,22.9,47.87,32.23
"2023-08-16 09:04:00",67,12.75,22.9,48.11,32.4
"2023-08-16 09:05:00",68,12.75,22.9,48.35,32.61
"2023-08-16 09:06:00",69,12.75,22.92,48.56,32.85
"2023-08-16 09:07:00",70,12.74,22.95,48.75,33.07
"2023-08-16 09:08:00",71,12.74,22.95,48.97,33.27
"2023-08-16 09:09:00",72,12.74,22.95,49.11,33.45
"2023-08-16 09:10:00",73,12.74,22.98,49.28,33.19
"2023-08-16 09:11:00",74,12.74,22.98,48.88,33.06
"2023-08-16 09:12:00",75,12.74,22.98,48.07,32.96
"2023-08-16 09:13:00",76,12.74,22.98,47.12,32.79
"2023-08-16 09:14:00",77,12.74,22.98,46.09,32.65
"2023-08-16 09:15:00",78,12.74,23.01,45.05,32.51
"2023-08-16 09:16:00",79,12.74,23.01,44.08,32.32
"2023-08-16 09:17:00",80,12.74,23.01,43.12,32.15
"2023-08-16 09:18:00",81,12.74,23.01,42.22,31.98
