"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:expeimento PTC.CR1","44162","exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","PT100_Avg","Rs_Avg"
"TS","RN","","","","",""
"","","Min","Smp","Avg","Avg","Avg"
"2023-05-03 09:27:00",0,0,25.64,"NAN",25.39,109.8
"2023-05-03 09:28:00",1,0,25.64,"NAN",27.53,110.6
"2023-05-03 09:29:00",2,12.23,25.67,"NAN",27.17,110.5
"2023-05-10 08:20:00",0,0,23.07,21.97,21.01,108.1
"2023-05-10 08:21:00",1,0,23.07,22.13,21.01,108.1
"2023-05-10 08:22:00",2,0,23.07,22.65,21.01,108.1
"2023-05-10 08:23:00",3,0,23.04,22.79,21.01,108.1
"2023-05-10 08:24:00",4,0,23.04,31.2,21.01,108.1
"2023-05-10 08:25:00",5,0,23.04,25.6,21.01,108.1
"2023-05-10 08:26:00",6,0,23.07,23.51,21.01,108.1
"2023-05-10 08:27:00",7,0,23.07,23.19,21.01,108.1
"2023-05-10 08:28:00",8,0,23.07,23.01,23.82,109.2
"2023-05-10 08:29:00",9,0,23.1,22.96,24.23,109.3
"2023-05-10 08:30:00",10,0,23.1,22.94,23.39,109
"2023-05-10 08:31:00",11,0,23.12,5.808,5.336,102.1
"2023-05-10 08:32:00",12,0,23.12,0.352,-0.988,99.6
"2023-05-10 08:33:00",13,0,23.12,0.311,-1.209,99.5
"2023-05-10 08:34:00",14,0,23.12,0.304,-1.209,99.5
"2023-05-10 08:35:00",15,0,23.15,0.316,-1.224,99.5
"2023-05-10 08:36:00",16,0,23.18,2.983,0.153,100.1
"2023-05-10 08:37:00",17,0,23.18,1.147,-0.113,100
"2023-05-10 08:38:00",18,0,23.21,0.483,-1.209,99.5
"2023-05-10 08:39:00",19,0,23.21,0.408,-1.209,99.5
"2023-05-10 08:40:00",20,0,23.24,0.413,-1.209,99.5
"2023-05-10 08:41:00",21,0,23.24,0.43,-1.209,99.5
"2023-05-10 08:20:00",0,0,23.07,21.97,21.01,108.1
"2023-05-10 08:21:00",1,0,23.07,22.13,21.01,108.1
"2023-05-10 08:22:00",2,0,23.07,22.65,21.01,108.1
"2023-05-10 08:23:00",3,0,23.04,22.79,21.01,108.1
"2023-05-10 08:24:00",4,0,23.04,31.2,21.01,108.1
"2023-05-10 08:25:00",5,0,23.04,25.6,21.01,108.1
"2023-05-10 08:26:00",6,0,23.07,23.51,21.01,108.1
"2023-05-10 08:27:00",7,0,23.07,23.19,21.01,108.1
"2023-05-10 08:28:00",8,0,23.07,23.01,23.82,109.2
"2023-05-10 08:29:00",9,0,23.1,22.96,24.23,109.3
"2023-05-10 08:30:00",10,0,23.1,22.94,23.39,109
"2023-05-10 08:31:00",11,0,23.12,5.808,5.336,102.1
"2023-05-10 08:32:00",12,0,23.12,0.352,-0.988,99.6
"2023-05-10 08:33:00",13,0,23.12,0.311,-1.209,99.5
"2023-05-10 08:34:00",14,0,23.12,0.304,-1.209,99.5
"2023-05-10 08:35:00",15,0,23.15,0.316,-1.224,99.5
"2023-05-10 08:36:00",16,0,23.18,2.983,0.153,100.1
"2023-05-10 08:37:00",17,0,23.18,1.147,-0.113,100
"2023-05-10 08:38:00",18,0,23.21,0.483,-1.209,99.5
"2023-05-10 08:39:00",19,0,23.21,0.408,-1.209,99.5
"2023-05-10 08:40:00",20,0,23.24,0.413,-1.209,99.5
"2023-05-10 08:41:00",21,0,23.24,0.43,-1.209,99.5
"2023-05-10 08:42:00",22,0,23.24,0.442,-0.292,99.9
"2023-05-10 08:43:00",23,0,23.27,0.449,-0.303,99.9
"2023-05-10 08:44:00",24,0,23.27,0.448,-0.292,99.9
"2023-05-10 08:45:00",25,0,23.29,0.444,-0.308,99.9
"2023-05-10 08:46:00",26,0,23.29,0.43,-0.31,99.9
"2023-05-10 08:47:00",27,0,23.32,0.429,0.087,100
"2023-05-10 08:48:00",28,0,23.35,0.426,0.353,100.1
"2023-05-10 08:49:00",29,0,23.35,0.439,0.36,100.1
"2023-05-10 08:50:00",30,0,23.35,0.439,0.416,100.2
"2023-05-10 08:51:00",31,0,23.38,0.44,0.415,100.2
"2023-05-10 08:52:00",32,0,23.38,0.459,0.4,100.2
"2023-05-10 08:53:00",33,0,23.38,0.451,0.444,100.2
"2023-05-10 08:54:00",34,0,23.41,0.461,0.428,100.2
"2023-05-10 08:55:00",35,0,23.41,0.465,0.421,100.2
"2023-05-10 08:56:00",36,0,23.44,0.454,0.435,100.2
"2023-05-10 08:57:00",37,0,23.44,0.457,0.45,100.2
"2023-05-10 08:58:00",38,0,23.47,0.454,0.444,100.2
"2023-05-10 08:59:00",39,0,23.47,0.464,0.446,100.2
"2023-05-10 09:00:00",40,0,23.5,0.448,0.446,100.2
"2023-05-10 09:01:00",41,0,23.5,0.454,0.445,100.2
"2023-05-10 09:02:00",42,0,23.52,1.592,0.761,100.3
"2023-05-10 09:03:00",43,0,23.55,6.642,5.262,102
"2023-05-10 09:04:00",44,0,23.58,4.798,4.282,101.6
"2023-05-10 09:05:00",45,0,23.58,3.864,3.29,101.3
"2023-05-10 09:06:00",46,0,23.61,3.623,3.043,101.2
"2023-05-10 09:07:00",47,0,23.64,3.637,3.243,101.2
"2023-05-10 09:08:00",48,0,23.67,6.108,4.565,101.8
"2023-05-10 09:09:00",49,0,23.7,8.7,7.145,102.8
"2023-05-10 09:10:00",50,0,23.7,8.27,8.47,103.3
"2023-05-10 09:11:00",51,0,23.72,8.95,9.16,103.5
"2023-05-10 09:12:00",52,0,23.75,9.2,9.41,103.6
"2023-05-10 09:13:00",53,0,23.75,9.36,9.52,103.7
"2023-05-10 09:14:00",54,0,23.78,9.5,9.64,103.7
"2023-05-10 09:15:00",55,0,23.78,9.61,9.76,103.8
"2023-05-10 09:16:00",56,0,23.81,9.72,9.86,103.8
"2023-05-10 09:17:00",57,0,23.81,9.79,9.93,103.8
"2023-05-10 09:18:00",58,0,23.84,9.88,10,103.8
"2023-05-10 09:19:00",59,0,23.87,9.95,10.09,103.9
"2023-05-10 09:20:00",60,0,23.87,10.02,10.17,103.9
"2023-05-10 09:21:00",61,0,23.9,10.08,10.22,103.9
"2023-05-10 09:22:00",62,0,23.9,10.15,10.31,104
"2023-05-10 09:23:00",63,0,23.93,10.22,10.35,104
"2023-05-10 09:24:00",64,0,23.93,10.27,10.42,104
"2023-05-10 09:25:00",65,0,23.96,10.34,10.49,104
"2023-05-10 09:26:00",66,0,23.99,10.4,10.54,104.1
